id,name,category,falCategory,status,prefix,supportsLora,imageFields,maxRefs,refImagesField,needsSource,needsFirstFrame,supportsI2v,promptField,aspectRatioField,durationField,hasOpenapiOverlay,notes
fal-ai/nano-banana-2/edit,Nano Banana 2,image,image-to-image,available,fal-ai,False,image_urls,9,image_urls,False,False,False,prompt,aspect_ratio,,True,"Nano Banana 2 is Google's new state-of-the-art image generation and editing model
"
fal-ai/nano-banana-pro/edit,Nano Banana Pro,image,image-to-image,available,fal-ai,False,image_urls,9,image_urls,False,False,False,prompt,,,False,
openai/gpt-image-2/edit,GPT Image 2 API,image,image-to-image,available,openai,False,image_urls,9,image_urls,False,False,False,prompt,,,True,"GPT Image 2, OpenAI's latest image model, is capable of making fine-grained, detailed edits to images."
fal-ai/flux/schnell,FLUX.1 [schnell],image,text-to-image,available,fal-ai,False,,1,image_url,False,False,False,prompt,,,True,FLUX.1 [schnell] is a 12 billion parameter flow transformer that generates high-quality images from text in 1 to 4 steps
minimax/h3-max/image-to-video,H3 Max Image to Video,video,image-to-video,available,minimax,False,end_image_url|image_url,1,image_url,False,True,True,prompt,,duration,True,"fal's H3 Max is a post-trained variant of MiniMax H3, tuned for stronger prompt adherence and better aesthetics while co"
fal-ai/nano-banana-2,Nano Banana 2,image,text-to-image,available,fal-ai,False,,1,image_url,False,False,False,prompt,aspect_ratio,,True,Nano Banana 2 is Google's new state-of-the-art fast image generation and editing model
openai/gpt-image-2,GPT Image 2 API,image,text-to-image,available,openai,False,,1,image_url,False,False,False,prompt,,,True,"GPT Image 2, OpenAI's latest image model, is capable of creating extremely detailed images with fine typography."
fal-ai/nano-banana-pro,Nano Banana Pro,image,text-to-image,available,fal-ai,False,,1,image_url,False,False,False,prompt,aspect_ratio,,True,Nano Banana Pro is Google's new state-of-the-art image generation and editing model
minimax/h3-max/text-to-video,MiniMax H3 Max Text to Video,video,text-to-video,available,minimax,False,,1,image_url,False,False,False,prompt,aspect_ratio,duration,True,"fal's H3 Max is a post-trained variant of MiniMax H3, tuned for stronger prompt adherence and better aesthetics while co"
fal-ai/flux/dev,FLUX.1 [dev],image,text-to-image,available,fal-ai,False,,1,image_url,False,False,False,prompt,,,True,FLUX.1 [dev] is a 12 billion parameter flow transformer that generates high-quality images from text. It is suitable for
fal-ai/nano-banana/edit,Nano Banana,image,image-to-image,available,fal-ai,False,image_urls,9,image_urls,False,False,False,prompt,,,False,
fal-ai/kling-video/v3/pro/image-to-video,Kling Video v3 Image to Video [Pro],video,image-to-video,available,fal-ai,False,start_image_url|end_image_url,1,image_url,False,True,True,prompt,,duration,True,"Kling 3.0 Pro: Top-tier image-to-video with cinematic visuals, fluid motion, and native audio generation, with custom el"
bytedance/seedream/v5/pro/edit,Seedream 5.0 Pro Image Editing,image,image-to-image,available,bytedance,False,image_url,1,image_url,True,False,False,prompt,,,False,
fal-ai/flux-2-pro,Flux 2 Pro,image,text-to-image,available,fal-ai,False,,1,image_url,False,False,False,prompt,,,True,"Image editing with FLUX.2 [pro] from Black Forest Labs. Ideal for high-quality image manipulation, style transfer, and s"
fal-ai/birefnet/v2,Birefnet Background Removal V2,bg,image-to-image,available,fal-ai,False,,1,image_url,True,False,False,prompt,,,False,
bytedance/seedance-2.5/reference-to-video,Seedance 2.5 Reference to Video,video,image-to-video,available,bytedance,False,image_urls,9,image_urls,False,True,True,prompt,,,False,
bytedance/seedance-2.5/image-to-video,Seedance 2.5 Image to Video,video,image-to-video,available,bytedance,False,image_url|end_image_url,1,image_url,False,True,True,prompt,aspect_ratio,duration,True,"Dreamina Seedance 2.5 animates a single still into a native 30-second clip at up to 720p, extending one frame into conti"
fal-ai/flux-pro/kontext,FLUX.1 Kontext [pro],image,image-to-image,available,fal-ai,False,image_url,1,image_url,True,False,False,prompt,aspect_ratio,,True,"FLUX.1 Kontext [pro] handles both text and reference images as inputs, seamlessly enabling targeted, local edits and com"
fal-ai/nano-banana,Nano Banana,image,text-to-image,available,fal-ai,False,,1,image_url,False,False,False,prompt,,,False,
fal-ai/bytedance/seedream/v4.5/edit,Bytedance Seedream V4.5 Edit,image,image-to-image,available,fal-ai,False,image_url,1,image_url,True,False,False,prompt,,,False,
fal-ai/flux-pro/v1.1,FLUX1.1 [pro],image,text-to-image,available,fal-ai,False,,1,image_url,False,False,False,prompt,,,True,"FLUX1.1 [pro] is an enhanced version of FLUX.1 [pro], improved image generation capabilities, delivering superior compos"
fal-ai/kling-video/v2.5-turbo/pro/image-to-video,Kling Video,video,image-to-video,available,fal-ai,False,image_url|tail_image_url,1,image_url,False,True,True,prompt,,duration,True,"Kling 2.5 Turbo Pro: Top-tier image-to-video generation with unparalleled motion fluidity, cinematic visuals, and except"
fal-ai/flux-2-pro/edit,FLUX 2 Pro Edit,image,image-to-image,available,fal-ai,False,image_urls,9,image_urls,False,False,False,prompt,,,True,"Text-to-image generation with FLUX.2 [pro] from Black Forest Labs. Optimized for maximum quality, exceptional photoreali"
bytedance/seedream/v5/pro/text-to-image,Seedream 5.0 Pro Text to Image,image,text-to-image,available,bytedance,False,,1,image_url,False,False,False,prompt,,,False,
minimax/h3/reference-to-video,MiniMax H3 Reference to Video,video,image-to-video,available,minimax,False,image_urls,9,image_urls,False,True,True,prompt,,,False,
fal-ai/seedvr/upscale/image,SeedVR2,upscale,image-to-image,available,fal-ai,False,,1,image_url,True,False,False,prompt,,,False,
